mean,RMS,ptp,std,max,min
23.732,23.732,0.026,0.007,23.745,23.719
23.733,23.733,0.026,0.008,23.745,23.719
23.732,23.732,0.025,0.007,23.744,23.719
23.735,23.735,0.02,0.006,23.744,23.724
23.734,23.734,0.02,0.006,23.744,23.724
23.734,23.734,0.02,0.006,23.744,23.724
23.737,23.737,0.03,0.008,23.754,23.724
23.739,23.739,0.03,0.009,23.754,23.724
23.74,23.74,0.03,0.01,23.754,23.724
23.74,23.74,0.032,0.011,23.754,23.722
23.741,23.741,0.032,0.01,23.754,23.722
23.741,23.741,0.032,0.01,23.754,23.722
23.741,23.741,0.032,0.009,23.754,23.722
23.742,23.742,0.032,0.01,23.754,23.722
23.742,23.742,0.032,0.009,23.754,23.722
23.741,23.741,0.032,0.011,23.754,23.722
23.731,23.731,0.104,0.029,23.752,23.648
23.73,23.73,0.104,0.029,23.752,23.648
23.728,23.728,0.099,0.028,23.747,23.648
23.729,23.729,0.099,0.028,23.747,23.648
23.728,23.728,0.099,0.028,23.747,23.648
23.727,23.727,0.099,0.027,23.747,23.648
23.729,23.729,0.104,0.028,23.752,23.648
23.727,23.727,0.104,0.028,23.752,23.648
23.729,23.729,0.104,0.029,23.752,23.648
23.732,23.732,0.107,0.03,23.755,23.648
23.74,23.74,0.032,0.01,23.755,23.723
23.736,23.736,0.056,0.016,23.755,23.699
23.736,23.736,0.056,0.016,23.755,23.699
23.736,23.736,0.056,0.016,23.755,23.699
23.728,23.728,0.107,0.031,23.755,23.648
23.728,23.728,0.107,0.031,23.755,23.648
23.725,23.725,0.107,0.03,23.755,23.648
23.724,23.724,0.107,0.029,23.755,23.648
23.722,23.722,0.107,0.028,23.755,23.648
23.718,23.719,0.089,0.026,23.737,23.648
23.718,23.718,0.089,0.026,23.737,23.648
23.721,23.721,0.089,0.025,23.737,23.648
23.719,23.719,0.089,0.025,23.737,23.648
23.71,23.71,0.092,0.032,23.737,23.645
23.719,23.719,0.095,0.026,23.74,23.645
23.718,23.718,0.095,0.025,23.74,23.645
23.717,23.717,0.095,0.025,23.74,23.645
23.717,23.717,0.095,0.025,23.74,23.645
23.716,23.716,0.095,0.024,23.74,23.645
23.716,23.716,0.095,0.024,23.74,23.645
23.717,23.717,0.095,0.025,23.74,23.645
23.707,23.707,0.107,0.035,23.74,23.633
23.707,23.707,0.107,0.035,23.74,23.633
23.716,23.716,0.107,0.029,23.74,23.633
23.715,23.715,0.106,0.028,23.739,23.633
23.707,23.707,0.106,0.037,23.739,23.633
23.709,23.709,0.113,0.039,23.746,23.633
23.71,23.71,0.113,0.039,23.746,23.633
23.71,23.71,0.113,0.039,23.746,23.633
23.711,23.712,0.113,0.039,23.746,23.633
23.711,23.711,0.113,0.039,23.746,23.633
24.353,24.428,6.423,1.902,30.059,23.636
24.946,25.066,6.423,2.453,30.059,23.636
25.79,25.991,8.545,3.224,32.181,23.636
26.309,26.511,8.545,3.268,32.181,23.636
26.895,27.092,8.461,3.262,32.181,23.72
27.563,27.751,8.461,3.232,32.181,23.72
28.353,28.529,8.461,3.162,32.181,23.72
28.353,28.529,8.456,3.161,32.181,23.725
28.352,28.528,8.456,3.163,32.181,23.725
28.351,28.527,8.469,3.165,32.181,23.712
27.718,27.924,8.469,3.385,32.181,23.712
27.129,27.356,8.469,3.51,32.181,23.712
26.284,26.478,7.914,3.195,31.626,23.712
25.765,25.957,7.914,3.145,31.626,23.712
25.19,25.36,7.914,2.929,31.626,23.712
24.523,24.637,7.914,2.368,31.626,23.712
23.735,23.735,0.042,0.012,23.754,23.712
23.736,23.736,0.042,0.011,23.754,23.712
23.737,23.737,0.042,0.011,23.754,23.712
23.74,23.74,0.026,0.007,23.754,23.728
23.74,23.74,0.026,0.007,23.754,23.728
23.74,23.74,0.021,0.006,23.749,23.728
23.738,23.738,0.035,0.009,23.749,23.714
23.736,23.736,0.035,0.012,23.749,23.714
23.736,23.737,0.035,0.012,23.749,23.714
23.727,23.727,0.101,0.029,23.749,23.648
23.724,23.724,0.101,0.028,23.749,23.648
23.724,23.724,0.101,0.028,23.749,23.648
23.723,23.723,0.101,0.028,23.749,23.648
23.724,23.724,0.101,0.028,23.749,23.648
23.725,23.725,0.101,0.028,23.749,23.648
23.723,23.723,0.101,0.027,23.749,23.648
23.725,23.725,0.101,0.028,23.749,23.648
23.728,23.728,0.101,0.028,23.749,23.648
23.728,23.728,0.099,0.028,23.747,23.648
23.735,23.735,0.029,0.009,23.747,23.718
23.737,23.737,0.025,0.007,23.747,23.722
23.737,23.737,0.025,0.007,23.747,23.722
23.737,23.737,0.025,0.008,23.747,23.722
23.736,23.736,0.025,0.007,23.747,23.722
23.728,23.728,0.089,0.024,23.747,23.658
23.728,23.728,0.089,0.024,23.747,23.658
23.729,23.729,0.093,0.025,23.751,23.658
23.729,23.729,0.093,0.025,23.751,23.658
23.728,23.728,0.093,0.025,23.751,23.658
23.73,23.731,0.093,0.025,23.751,23.658
23.732,23.732,0.094,0.026,23.752,23.658
23.729,23.729,0.094,0.027,23.752,23.658
23.733,23.733,0.109,0.03,23.767,23.658
23.734,23.734,0.109,0.03,23.767,23.658
23.742,23.742,0.063,0.017,23.767,23.704
23.743,23.743,0.063,0.016,23.767,23.704
23.733,23.733,0.119,0.032,23.767,23.648
23.732,23.732,0.119,0.032,23.767,23.648
23.732,23.733,0.119,0.032,23.767,23.648
23.734,23.734,0.119,0.033,23.767,23.648
23.734,23.734,0.119,0.033,23.767,23.648
23.73,23.73,0.119,0.038,23.767,23.648
23.725,23.725,0.108,0.036,23.756,23.648
23.725,23.725,0.108,0.036,23.756,23.648
23.725,23.725,0.108,0.036,23.756,23.648
23.724,23.724,0.108,0.036,23.756,23.648
23.736,23.737,0.107,0.028,23.77,23.663
23.735,23.735,0.107,0.028,23.77,23.663
23.734,23.734,0.107,0.028,23.77,23.663
23.733,23.733,0.107,0.027,23.77,23.663
23.723,23.723,0.119,0.036,23.77,23.651
24.359,24.432,6.379,1.89,30.03,23.651
