mean,RMS,ptp,std,max,min
26.596,26.596,0.123,0.038,26.631,26.508
26.595,26.595,0.123,0.038,26.631,26.508
26.602,26.602,0.123,0.033,26.631,26.508
26.599,26.599,0.123,0.032,26.631,26.508
26.598,26.598,0.123,0.032,26.631,26.508
26.598,26.598,0.123,0.032,26.631,26.508
26.595,26.595,0.11,0.03,26.618,26.508
26.594,26.594,0.11,0.029,26.618,26.508
26.596,26.596,0.112,0.03,26.62,26.508
26.605,26.605,0.027,0.009,26.62,26.593
26.603,26.603,0.042,0.012,26.62,26.578
26.602,26.602,0.042,0.012,26.62,26.578
26.601,26.601,0.042,0.012,26.62,26.578
26.6,26.6,0.042,0.012,26.62,26.578
26.603,26.603,0.054,0.016,26.632,26.578
26.601,26.602,0.054,0.015,26.632,26.578
26.592,26.592,0.124,0.032,26.632,26.508
26.594,26.594,0.124,0.033,26.632,26.508
26.594,26.594,0.124,0.033,26.632,26.508
26.595,26.595,0.124,0.033,26.632,26.508
26.6,26.6,0.124,0.034,26.632,26.508
26.6,26.601,0.124,0.033,26.632,26.508
26.603,26.603,0.124,0.034,26.632,26.508
26.607,26.607,0.124,0.034,26.632,26.508
26.605,26.605,0.121,0.034,26.629,26.508
26.607,26.608,0.121,0.034,26.629,26.508
26.609,26.609,0.105,0.03,26.629,26.524
26.606,26.606,0.101,0.029,26.625,26.524
26.605,26.605,0.101,0.029,26.625,26.524
26.602,26.602,0.101,0.03,26.625,26.524
26.601,26.601,0.101,0.029,26.625,26.524
26.601,26.601,0.101,0.029,26.625,26.524
26.598,26.598,0.101,0.029,26.625,26.524
26.596,26.596,0.101,0.028,26.625,26.524
26.596,26.596,0.101,0.027,26.625,26.524
26.594,26.595,0.092,0.026,26.616,26.524
26.605,26.605,0.049,0.013,26.625,26.576
26.605,26.605,0.049,0.013,26.625,26.576
26.606,26.606,0.049,0.013,26.625,26.576
26.61,26.61,0.038,0.01,26.625,26.587
26.608,26.608,0.038,0.011,26.625,26.587
26.61,26.61,0.038,0.011,26.625,26.587
26.611,26.611,0.032,0.009,26.625,26.593
26.611,26.611,0.032,0.009,26.625,26.593
26.613,26.613,0.041,0.011,26.634,26.593
26.611,26.611,0.041,0.013,26.634,26.593
26.61,26.61,0.041,0.012,26.634,26.593
26.602,26.602,0.109,0.028,26.634,26.525
26.594,26.594,0.109,0.036,26.634,26.525
26.587,26.587,0.109,0.038,26.634,26.525
26.589,26.589,0.109,0.038,26.634,26.525
26.586,26.586,0.109,0.037,26.634,26.525
26.585,26.585,0.109,0.037,26.634,26.525
26.488,26.49,0.989,0.283,26.634,25.645
26.68,26.689,2.909,0.684,28.554,25.645
26.714,26.723,2.909,0.687,28.554,25.645
26.713,26.722,2.909,0.687,28.554,25.645
26.723,26.731,2.909,0.685,28.554,25.645
26.73,26.739,2.909,0.684,28.554,25.645
26.727,26.736,2.909,0.684,28.554,25.645
