mean,RMS,ptp,std,max,min
21.147,21.147,0.192,0.054,21.26,21.068
21.142,21.142,0.131,0.044,21.199,21.068
21.156,21.156,0.123,0.039,21.199,21.076
21.157,21.157,0.123,0.039,21.199,21.076
21.168,21.168,0.09,0.024,21.199,21.109
21.17,21.17,0.09,0.023,21.199,21.109
21.164,21.164,0.082,0.029,21.186,21.104
21.152,21.152,0.107,0.037,21.186,21.079
21.138,21.138,0.107,0.039,21.186,21.079
21.147,21.147,0.127,0.042,21.206,21.079
21.147,21.147,0.127,0.043,21.206,21.079
21.154,21.154,0.127,0.041,21.206,21.079
21.159,21.159,0.11,0.039,21.206,21.096
21.176,21.176,0.106,0.03,21.206,21.1
21.176,21.177,0.1,0.028,21.2,21.1
21.167,21.167,0.123,0.041,21.2,21.077
21.151,21.151,0.187,0.062,21.2,21.013
21.148,21.148,0.183,0.061,21.196,21.013
21.148,21.148,0.183,0.06,21.196,21.013
21.151,21.151,0.199,0.062,21.212,21.013
21.153,21.153,0.199,0.059,21.212,21.013
21.167,21.168,0.119,0.035,21.212,21.093
21.177,21.177,0.101,0.026,21.212,21.111
21.171,21.171,0.101,0.026,21.212,21.111
21.169,21.169,0.085,0.024,21.196,21.111
21.157,21.157,0.191,0.053,21.196,21.005
21.162,21.162,0.193,0.055,21.198,21.005
21.153,21.153,0.193,0.056,21.198,21.005
21.156,21.156,0.193,0.057,21.198,21.005
21.162,21.162,0.239,0.063,21.244,21.005
21.186,21.186,0.141,0.037,21.244,21.103
21.181,21.181,0.141,0.037,21.244,21.103
21.193,21.193,0.091,0.027,21.244,21.153
21.188,21.188,0.102,0.031,21.244,21.142
21.175,21.175,0.151,0.043,21.229,21.078
21.172,21.172,0.151,0.041,21.229,21.078
21.179,21.179,0.151,0.044,21.229,21.078
21.18,21.18,0.151,0.044,21.229,21.078
21.183,21.183,0.151,0.042,21.229,21.078
21.187,21.187,0.076,0.022,21.229,21.153
21.177,21.177,0.124,0.032,21.229,21.105
21.174,21.174,0.101,0.027,21.206,21.105
21.17,21.17,0.098,0.026,21.203,21.105
21.172,21.172,0.102,0.029,21.207,21.105
21.168,21.168,0.102,0.033,21.207,21.105
21.178,21.178,0.092,0.028,21.21,21.118
21.173,21.173,0.092,0.029,21.21,21.118
21.181,21.181,0.108,0.034,21.226,21.118
21.181,21.181,0.108,0.034,21.226,21.118
21.175,21.175,0.111,0.038,21.226,21.115
21.177,21.177,0.118,0.041,21.233,21.115
21.165,21.165,0.225,0.065,21.233,21.008
21.162,21.162,0.225,0.063,21.233,21.008
21.138,21.139,0.225,0.074,21.233,21.008
21.148,21.149,0.225,0.075,21.233,21.008
21.144,21.144,0.204,0.072,21.212,21.008
21.138,21.139,0.193,0.068,21.212,21.019
21.139,21.14,0.231,0.071,21.25,21.019
21.159,21.159,0.231,0.059,21.25,21.019
21.153,21.153,0.231,0.065,21.25,21.019
21.144,21.144,0.231,0.066,21.25,21.019
21.161,21.161,0.174,0.053,21.25,21.076
21.152,21.152,0.133,0.045,21.209,21.076
21.149,21.149,0.133,0.047,21.209,21.076
21.162,21.162,0.146,0.045,21.238,21.092
21.165,21.165,0.138,0.045,21.238,21.1
21.163,21.163,0.138,0.044,21.238,21.1
21.155,21.155,0.138,0.044,21.238,21.1
21.153,21.153,0.151,0.046,21.238,21.087
21.153,21.153,0.137,0.044,21.224,21.087
21.156,21.156,0.137,0.039,21.224,21.087
21.138,21.138,0.224,0.06,21.224,21.0
21.148,21.148,0.224,0.061,21.224,21.0
21.158,21.158,0.224,0.059,21.224,21.0
21.149,21.149,0.202,0.057,21.202,21.0
21.147,21.147,0.213,0.062,21.213,21.0
21.172,21.172,0.134,0.041,21.232,21.098
21.172,21.172,0.134,0.047,21.232,21.098
21.176,21.176,0.134,0.048,21.232,21.098
21.166,21.166,0.212,0.065,21.232,21.02
21.167,21.167,0.212,0.061,21.232,21.02
21.166,21.166,0.212,0.061,21.232,21.02
21.166,21.166,0.236,0.065,21.256,21.02
21.154,21.154,0.236,0.064,21.256,21.02
21.154,21.154,0.168,0.052,21.256,21.088
21.151,21.151,0.168,0.053,21.256,21.088
21.156,21.156,0.168,0.054,21.256,21.088
21.164,21.164,0.142,0.048,21.23,21.088
21.158,21.159,0.193,0.062,21.23,21.037
21.171,21.171,0.193,0.061,21.23,21.037
21.153,21.153,0.232,0.08,21.23,20.998
21.132,21.132,0.231,0.081,21.229,20.998
21.122,21.123,0.231,0.073,21.229,20.998
21.141,21.141,0.232,0.073,21.23,20.998
21.136,21.136,0.238,0.078,21.236,20.998
21.145,21.145,0.22,0.075,21.236,21.016
21.173,21.173,0.23,0.076,21.246,21.016
21.165,21.165,0.23,0.088,21.246,21.016
21.151,21.151,0.23,0.088,21.246,21.016
21.149,21.149,0.23,0.079,21.246,21.016
21.153,21.154,0.212,0.068,21.246,21.034
21.14,21.14,0.221,0.064,21.255,21.034
21.15,21.15,0.174,0.05,21.255,21.081
21.161,21.161,0.158,0.046,21.255,21.097
21.146,21.146,0.234,0.063,21.255,21.021
21.142,21.143,0.234,0.073,21.255,21.021
21.128,21.128,0.215,0.079,21.212,20.997
21.131,21.131,0.215,0.081,21.212,20.997
21.113,21.113,0.215,0.076,21.212,20.997
21.126,21.126,0.215,0.072,21.212,20.997
21.127,21.128,0.215,0.063,21.212,20.997
21.151,21.151,0.156,0.054,21.242,21.086
21.136,21.136,0.156,0.052,21.242,21.086
21.146,21.146,0.156,0.055,21.242,21.086
21.153,21.153,0.181,0.066,21.257,21.076
21.154,21.154,0.209,0.071,21.257,21.048
21.139,21.139,0.209,0.069,21.257,21.048
21.152,21.153,0.209,0.069,21.257,21.048
21.147,21.147,0.209,0.066,21.257,21.048
21.144,21.144,0.17,0.051,21.218,21.048
21.162,21.162,0.139,0.045,21.218,21.079
21.181,21.181,0.129,0.043,21.245,21.116
21.17,21.17,0.167,0.052,21.245,21.078
21.185,21.185,0.167,0.046,21.245,21.078
21.173,21.173,0.178,0.06,21.245,21.067
21.158,21.159,0.178,0.061,21.245,21.067
21.127,21.128,0.215,0.068,21.198,20.983
21.13,21.13,0.215,0.068,21.198,20.983
21.128,21.128,0.212,0.066,21.195,20.983
21.142,21.142,0.216,0.066,21.199,20.983
21.134,21.134,0.216,0.067,21.199,20.983
21.152,21.152,0.12,0.045,21.199,21.079
